s_hour,cluster
12,0
1,2
12,0
1,2
2,2
1,2
2,2
2,2
2,2
3,2
3,2
3,2
3,2
3,2
2,2
3,2
3,2
3,2
3,2
3,2
4,3
4,3
4,3
4,3
4,3
4,3
7,1
4,3
4,3
5,3
4,3
5,3
5,3
5,3
4,3
5,3
6,1
7,1
7,1
4,3
5,3
5,3
7,1
7,1
7,1
5,3
7,1
7,1
5,3
5,3
5,3
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
6,1
7,1
8,1
7,1
7,1
7,1
7,1
7,1
7,1
6,1
5,3
7,1
7,1
6,1
9,0
7,1
6,1
7,1
7,1
7,1
5,3
6,1
7,1
7,1
7,1
7,1
7,1
6,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
8,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
8,1
7,1
7,1
7,1
7,1
7,1
7,1
8,1
8,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
6,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
8,1
7,1
8,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
8,1
8,1
7,1
7,1
7,1
7,1
7,1
7,1
8,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
8,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
8,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
8,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
8,1
7,1
7,1
8,1
7,1
7,1
7,1
9,0
7,1
7,1
8,1
8,1
8,1
7,1
7,1
8,1
7,1
8,1
7,1
7,1
8,1
7,1
8,1
1,2
1,2
2,2
2,2
2,2
2,2
3,2
2,2
3,2
3,2
3,2
3,2
3,2
3,2
5,3
4,3
4,3
7,1
4,3
7,1
4,3
7,1
6,1
7,1
4,3
4,3
4,3
7,1
4,3
7,1
4,3
5,3
5,3
4,3
5,3
5,3
7,1
5,3
7,1
5,3
7,1
7,1
7,1
5,3
9,0
5,3
6,1
6,1
7,1
7,1
7,1
6,1
7,1
7,1
5,3
5,3
6,1
5,3
7,1
7,1
7,1
7,1
7,1
6,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
8,1
7,1
7,1
7,1
7,1
8,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
8,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
8,1
7,1
7,1
7,1
7,1
7,1
7,1
6,1
7,1
7,1
7,1
7,1
8,1
7,1
8,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
8,1
8,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
8,1
7,1
7,1
7,1
7,1
7,1
7,1
